model,score,num_boost_round,epochs,batch_size,lr
LightGBM Regressor,4044.921490155283,199.0,,,
Logistic Regressor,75267.26426512972,,370.0,256.0,0.0001
Logistic Regressor,32040.192459303766,,370.0,256.0,0.001
Logistic Regressor,44611.98619147328,,370.0,64.0,0.001
Logistic Regressor,60303.012438147176,,350.0,64.0,0.001
Logistic Regressor,60955.98413403335,,350.0,64.0,0.0001
Logistic Regressor,59626.89512351911,,320.0,64.0,0.0001
LightGBM Regressor,3943.7421484560805,761.0,,,
LightGBM Regressor,3956.556492939929,571.0,,,
LightGBM Regressor,3934.3752322943255,936.0,,,
LightGBM Regressor,3936.349154723505,1135.0,,,
LightGBM Regressor,3946.5352695148126,1371.0,,,
MLP Regressor,8052.632529506876,,170.0,32.0,0.003
LightGBM Regressor,3935.216033079974,960.0,,,
LightGBM Regressor,3989.312139300704,309.0,,,
LightGBM Regressor,4048.9465968495742,184.0,,,
LightGBM Regressor,3932.9365435659565,927.0,,,
LightGBM Regressor,3937.2987984796164,1026.0,,,
LightGBM Regressor,3977.778328097482,339.0,,,
LightGBM Regressor,3954.243843505459,700.0,,,
LightGBM Regressor,3936.616533183898,1107.0,,,
LightGBM Regressor,3937.4237628230812,1142.0,,,
LightGBM Regressor,3948.474989777025,729.0,,,
XGBoost Regressor,4462.659459348891,664.0,,,
XGBoost Regressor,4463.604191205322,688.0,,,
XGBoost Regressor,4465.592216550864,866.0,,,
LightGBM Regressor,3932.963320391853,929.0,,,
XGBoost Regressor,4466.57271378108,1720.0,,,
XGBoost Regressor,4466.370263929692,1253.0,,,
XGBoost Regressor,4466.362234948412,1219.0,,,
XGBoost Regressor,4465.230398248898,809.0,,,
XGBoost Regressor,4466.173324908547,1094.0,,,
XGBoost Regressor,4464.153417445974,734.0,,,
XGBoost Regressor,4461.692375723766,268.0,,,
XGBoost Regressor,4466.299171692063,1112.0,,,
XGBoost Regressor,4458.931529845396,437.0,,,
MLP Regressor,8681.00304084482,,170.0,32.0,0.001
LightGBM Regressor,3972.4076729416856,367.0,,,
LightGBM Regressor,3956.446923239306,540.0,,,
XGBoost Regressor,4466.326059391416,1201.0,,,
XGBoost Regressor,4466.555251925152,1935.0,,,
XGBoost Regressor,4466.2904457333425,1129.0,,,
XGBoost Regressor,4466.5446835946395,1816.0,,,
XGBoost Regressor,4466.575972775112,1664.0,,,
XGBoost Regressor,4466.357485962637,1171.0,,,
FNN Regressor,77342.52745791822,,120.0,32.0,0.001
FNN Regressor,77342.40940964328,,130.0,32.0,0.001
FNN Regressor,77322.06500562564,,310.0,32.0,0.001
FNN Regressor,77324.02863197001,,310.0,32.0,0.001
FNN Regressor,77305.29702688936,,410.0,32.0,0.001
XGBoost Regressor,4466.048393851531,926.0,,,
XGBoost Regressor,4464.909692659715,763.0,,,
XGBoost Regressor,4464.983869916646,772.0,,,
XGBoost Regressor,4465.4836367499265,883.0,,,
LightGBM Regressor,3936.497600584044,1154.0,,,
LightGBM Regressor,3941.8758557860074,1309.0,,,
LightGBM Regressor,3950.052715393331,1552.0,,,
LightGBM Regressor,3941.997722648908,1298.0,,,
LightGBM Regressor,3936.5104363898026,1092.0,,,
LightGBM Regressor,3956.3073405846035,537.0,,,
LightGBM Regressor,3933.7224157879077,945.0,,,
MLP Regressor,8630.494645764446,,170.0,128.0,0.001
MLP Regressor,8256.676815403855,,260.0,128.0,0.001
MLP Regressor,7718.265948714779,,460.0,128.0,0.001
MLP Regressor,7917.034143581755,,380.0,128.0,0.001
MLP Regressor,7995.375816356458,,380.0,32.0,0.001
MLP Regressor,7913.088266997893,,380.0,32.0,0.001
MLP Regressor,7825.892016298674,,490.0,32.0,0.001
MLP Regressor,8218.34449670029,,290.0,32.0,0.001
MLP Regressor,9585.72161965051,,290.0,32.0,0.0003
MLP Regressor,9111.416567388918,,290.0,32.0,0.0003
MLP Regressor,8591.386353406824,,470.0,32.0,0.0003
MLP Regressor,13278.935861581043,,470.0,32.0,0.0001
MLP Regressor,13092.781957834128,,470.0,32.0,0.0001
MLP Regressor,8499.990766491632,,470.0,32.0,0.0003
MLP Regressor,7742.727555419502,,470.0,32.0,0.003
MLP Regressor,7444.615003318107,,470.0,32.0,0.003
MLP Regressor,7609.871607066198,,460.0,32.0,0.003
MLP Regressor,7846.664141018197,,460.0,32.0,0.003
Logistic Regressor,76681.46388060132,,320.0,16.0,0.0001
Logistic Regressor,80140.45894780444,,320.0,16.0,0.0001
Logistic Regressor,67961.80061119003,,250.0,16.0,0.0001
Logistic Regressor,88197.47973222475,,250.0,32.0,0.0001
Logistic Regressor,82482.26128972971,,250.0,128.0,0.0001
Logistic Regressor,56706.93137450547,,250.0,128.0,0.0001
Logistic Regressor,79757.46252760601,,250.0,32.0,0.0001
LightGBM Regressor,3949.1468615425115,1478.0,,,
LightGBM Regressor,3949.2368145750816,736.0,,,
LightGBM Regressor,3971.664158741512,361.0,,,
LightGBM Regressor,3959.6421952462633,512.0,,,
LightGBM Regressor,4086.4355928636483,127.0,,,
LightGBM Regressor,3953.4122007227793,593.0,,,
LightGBM Regressor,3948.9809756956647,737.0,,,
LightGBM Regressor,3970.9430982045646,351.0,,,
Logistic Regressor,64627.66817014652,,250.0,128.0,0.0001
Logistic Regressor,89332.97103720382,,250.0,128.0,0.0001
Logistic Regressor,97719.46025200636,,80.0,128.0,0.0001
Logistic Regressor,47489.5853756696,,80.0,128.0,0.001
Logistic Regressor,62571.21782128042,,80.0,128.0,0.003
Logistic Regressor,92033.7823397163,,80.0,128.0,0.001
Logistic Regressor,49404.77781632445,,80.0,128.0,0.001
Logistic Regressor,55146.79680823781,,90.0,128.0,0.001
Logistic Regressor,61998.71849788295,,90.0,128.0,0.001
Logistic Regressor,75660.13606470406,,90.0,32.0,0.001
Logistic Regressor,25823.019335066932,,90.0,32.0,0.01
Logistic Regressor,17175.90856040571,,90.0,32.0,0.01
Logistic Regressor,29773.0772968877,,90.0,128.0,0.01
Logistic Regressor,64979.845129233814,,90.0,128.0,0.003
Logistic Regressor,66315.55499609893,,90.0,128.0,0.003
FNN Regressor,77310.38486516393,,410.0,64.0,0.001
FNN Regressor,77307.47697742937,,410.0,128.0,0.001
FNN Regressor,77310.05864811475,,410.0,128.0,0.001
FNN Regressor,51062.96348413664,,410.0,128.0,0.03
FNN Regressor,68413.64752039468,,220.0,128.0,0.03
FNN Regressor,76383.98939634935,,220.0,128.0,0.01
FNN Regressor,75510.53439563717,,310.0,128.0,0.01
FNN Regressor,74867.459165775,,310.0,128.0,0.01
FNN Regressor,77137.60514286917,,310.0,128.0,0.003
FNN Regressor,77120.81551735166,,310.0,256.0,0.003
FNN Regressor,77126.39122119425,,310.0,256.0,0.003
FNN Regressor,77325.2226039247,,120.0,256.0,0.003
FNN Regressor,77321.59527183129,,120.0,128.0,0.003
FNN Regressor,77305.295352209,,160.0,128.0,0.003
FNN Regressor,77297.66421994589,,160.0,64.0,0.003
FNN Regressor,77346.61391627224,,160.0,64.0,0.0003
Logistic Regressor,44393.58415633924,,90.0,256.0,0.003
Logistic Regressor,17510.54237334499,,90.0,256.0,0.01
Logistic Regressor,47428.96574431091,,90.0,256.0,0.001
Logistic Regressor,62027.826629405135,,260.0,256.0,0.001
Logistic Regressor,63481.281538717216,,260.0,64.0,0.001
XGBoost Regressor,4461.539568868669,361.0,,,
