,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
155,XGBoost Regressor,2626.836406249997,,,155.0,,,
156,XGBoost Regressor,2626.836406249997,,,681.0,,,
157,XGBoost Regressor,2626.836406249997,,,124.0,,,
158,MLP Regressor,32773.9487109375,,,,490.0,128.0,0.0003
159,MLP Regressor,32952.41785766601,,,,490.0,32.0,0.0003
160,MLP Regressor,33279.683536071774,,,,290.0,32.0,0.0003
161,MLP Regressor,33270.8061251831,,,,290.0,32.0,0.0003
162,MLP Regressor,33342.92875339508,,,,150.0,32.0,0.0003
163,MLP Regressor,33348.19142486572,,,,150.0,128.0,0.0003
164,MLP Regressor,33342.30057289123,,,,180.0,128.0,0.0003
165,MLP Regressor,33342.04925109863,,,,160.0,128.0,0.0003
166,MLP Regressor,33333.985431213376,,,,200.0,128.0,0.0003
167,MLP Regressor,33321.07760192871,,,,200.0,256.0,0.0003
168,MLP Regressor,33344.99426509857,,,,200.0,256.0,0.0003
169,Logistic Regressor,33358.20134951591,,,,470.0,256.0,0.0003
170,Logistic Regressor,33358.25565930128,,,,470.0,128.0,0.0003
171,LightGBM Regressor,7293.592265624997,,,1072.0,,,
172,LightGBM Regressor,7293.592265624997,,,638.0,,,
173,LightGBM Regressor,7293.592265624997,,,488.0,,,
174,LightGBM Regressor,7293.592265624997,,,427.0,,,
175,LightGBM Regressor,7293.592265624997,,,1238.0,,,
176,LightGBM Regressor,7293.592265624997,,,1636.0,,,
177,LightGBM Regressor,7293.592265624997,,,1641.0,,,
178,XGBoost Regressor,2626.836406249997,,,384.0,,,
179,XGBoost Regressor,2626.836406249997,,,164.0,,,
180,XGBoost Regressor,2626.836406249997,,,979.0,,,
181,XGBoost Regressor,2626.836406249997,,,1274.0,,,
182,XGBoost Regressor,2626.836406249997,,,491.0,,,
183,XGBoost Regressor,2626.836406249997,,,1315.0,,,
184,XGBoost Regressor,2626.836406249997,,,1768.0,,,
185,XGBoost Regressor,2626.836406249997,,,1570.0,,,
186,XGBoost Regressor,2626.836406249997,,,1881.0,,,
187,MLP Regressor,33330.084722061154,,,,200.0,256.0,0.0003
188,MLP Regressor,33326.450999755856,,,,200.0,256.0,0.0003
189,MLP Regressor,33284.76461364746,,,,260.0,256.0,0.0003
190,MLP Regressor,33154.68072082519,,,,350.0,256.0,0.0003
191,MLP Regressor,32917.287456054684,,,,460.0,256.0,0.0003
192,MLP Regressor,32997.37260009765,,,,460.0,128.0,0.0003
193,MLP Regressor,33285.929698486325,,,,260.0,128.0,0.0003
194,XGBoost Regressor,2626.836406249997,,,1330.0,,,
195,XGBoost Regressor,2626.836406249997,,,1886.0,,,
196,XGBoost Regressor,2626.836406249997,,,1393.0,,,
197,XGBoost Regressor,2626.836406249997,,,429.0,,,
198,XGBoost Regressor,2626.836406249997,,,738.0,,,
199,XGBoost Regressor,2626.836406249997,,,1695.0,,,
200,XGBoost Regressor,2626.836406249997,,,1066.0,,,
201,XGBoost Regressor,2626.836406249997,,,361.0,,,
202,XGBoost Regressor,2626.836406249997,,,201.0,,,
203,XGBoost Regressor,2626.836406249997,,,522.0,,,
204,FNN Regressor,33328.85353614807,,,,160.0,128.0,0.003
205,FNN Regressor,33325.533687133786,,,,160.0,128.0,0.003
206,FNN Regressor,33354.14240552902,,,,160.0,128.0,0.001
207,FNN Regressor,33355.21334030151,,,,160.0,128.0,0.001
208,FNN Regressor,33353.68960048675,,,,160.0,256.0,0.001
209,XGBoost Regressor,2626.836406249997,,,1482.0,,,
210,MLP Regressor,33308.57678939819,,,,260.0,32.0,0.0003
211,MLP Regressor,33356.91323842525,,,,60.0,32.0,0.0003
212,MLP Regressor,33356.22101523399,,,,60.0,64.0,0.0003
213,MLP Regressor,33338.41621353149,,,,60.0,64.0,0.001
214,MLP Regressor,33348.47347499847,,,,50.0,64.0,0.001
215,MLP Regressor,33285.23894073486,,,,110.0,64.0,0.001
216,MLP Regressor,28946.725566406247,,,,320.0,64.0,0.001
217,MLP Regressor,29923.535136718747,,,,320.0,64.0,0.001
218,MLP Regressor,29870.367167968747,,,,320.0,128.0,0.001
219,MLP Regressor,1750.6684374999968,,,,320.0,128.0,0.003
220,XGBoost Regressor,2626.836406249997,,,1747.0,,,
221,XGBoost Regressor,2626.836406249997,,,1383.0,,,
222,XGBoost Regressor,2626.836406249997,,,700.0,,,
223,MLP Regressor,2470.240703124997,,,,320.0,32.0,0.003
224,MLP Regressor,3228.762187499997,,,,260.0,32.0,0.003
225,MLP Regressor,33039.89466430664,,,,60.0,32.0,0.003
226,MLP Regressor,33088.752116699216,,,,60.0,32.0,0.003
227,MLP Regressor,33087.762858886716,,,,60.0,128.0,0.003
228,FNN Regressor,33331.11526443481,,,,160.0,256.0,0.003
229,FNN Regressor,33330.096816558835,,,,160.0,256.0,0.003
230,XGBoost Regressor,2626.836406249997,,,774.0,,,
231,XGBoost Regressor,2626.836406249997,,,747.0,,,
232,XGBoost Regressor,2626.836406249997,,,484.0,,,
233,XGBoost Regressor,2626.836406249997,,,605.0,,,
234,XGBoost Regressor,2626.836406249997,,,1465.0,,,
235,Logistic Regressor,33357.1670927,,,,470.0,128.0,0.0003
236,Logistic Regressor,33357.9939305377,,,,410.0,128.0,0.0003
237,Logistic Regressor,33357.42366768837,,,,410.0,32.0,0.0003
238,Logistic Regressor,33358.228428323266,,,,410.0,64.0,0.0003
239,Logistic Regressor,33347.89273979187,,,,410.0,64.0,0.003
240,Logistic Regressor,33350.20320178985,,,,310.0,64.0,0.003
241,Logistic Regressor,33347.8008637619,,,,370.0,64.0,0.003
242,MLP Regressor,3381.551249999997,,,,250.0,128.0,0.003
243,MLP Regressor,3290.676249999997,,,,250.0,128.0,0.003
244,XGBoost Regressor,2626.836406249997,,,1638.0,,,
245,XGBoost Regressor,2626.836406249997,,,1460.0,,,
246,XGBoost Regressor,2626.836406249997,,,1310.0,,,
247,XGBoost Regressor,2626.836406249997,,,992.0,,,
248,XGBoost Regressor,2626.836406249997,,,1375.0,,,
249,XGBoost Regressor,2626.836406249997,,,1995.0,,,
250,XGBoost Regressor,2626.836406249997,,,1978.0,,,
251,XGBoost Regressor,2626.836406249997,,,1677.0,,,
252,XGBoost Regressor,2626.836406249997,,,1861.0,,,
253,XGBoost Regressor,2626.836406249997,,,1101.0,,,
254,XGBoost Regressor,2626.836406249997,,,402.0,,,
255,XGBoost Regressor,2626.836406249997,,,935.0,,,
256,XGBoost Regressor,2626.836406249997,,,1852.0,,,
257,XGBoost Regressor,2626.836406249997,,,1897.0,,,
258,XGBoost Regressor,2626.836406249997,,,1890.0,,,
259,XGBoost Regressor,2626.836406249997,,,1128.0,,,
260,FNN Regressor,30221.28391601562,,,,160.0,256.0,0.03
261,FNN Regressor,30064.98313476562,,,,160.0,64.0,0.03
262,FNN Regressor,17286.640117187497,,,,330.0,64.0,0.03
263,FNN Regressor,20697.352031249997,,,,320.0,64.0,0.03
264,LightGBM Regressor,7293.592265624997,,,1841.0,,,
265,LightGBM Regressor,7293.592265624997,,,1080.0,,,
266,LightGBM Regressor,7293.592265624997,,,1880.0,,,
267,LightGBM Regressor,7293.592265624997,,,1964.0,,,
268,FNN Regressor,19844.230937499997,,,,320.0,16.0,0.03
269,Logistic Regressor,33357.87752600431,,,,370.0,64.0,0.0003
270,Logistic Regressor,33357.11326756,,,,370.0,64.0,0.0003
271,Logistic Regressor,33355.47309209823,,,,370.0,64.0,0.001
272,Logistic Regressor,33356.268904705044,,,,370.0,64.0,0.001
273,Logistic Regressor,33355.51116063118,,,,370.0,16.0,0.001
274,Logistic Regressor,33325.208129425046,,,,370.0,16.0,0.01
275,Logistic Regressor,33349.05421592712,,,,370.0,16.0,0.003
276,Logistic Regressor,33349.05290939331,,,,370.0,32.0,0.003
277,Logistic Regressor,33345.08632041931,,,,490.0,32.0,0.003
278,Logistic Regressor,33313.90208007812,,,,490.0,32.0,0.01
