0,1,2,3,4,5
74.0,1.0,1.0,0.0,43.6554292,-79.4040073
51.0,1.0,1.0,0.0,43.7004274,-79.2961132
115.0,1.0,1.0,0.0,43.640845500000005,-79.4143193
381.0,2.0,1.0,0.0,43.6678174,-79.3831111
314.0,1.0,1.0,0.0,43.624733500000005,-79.4995337
17.0,1.0,1.0,0.0,43.65506920000001,-79.38747049999999
356.0,1.0,1.0,0.0,43.6616824,-79.3833791
7.0,3.0,1.0,0.0,43.1041257,-79.0654766
126.0,2.0,2.0,0.0,43.6410868,-79.3814048
441.0,1.0,1.0,1.0,43.6406456,-79.380939
446.0,2.0,2.0,0.0,43.8497521,-79.32466629999999
382.0,2.0,2.0,0.0,43.6594213,-79.36102509999999
151.0,2.0,2.0,0.0,43.653978,-79.3541341
103.0,3.0,1.0,0.0,43.6486411,-79.40119279999999
176.0,2.0,2.0,0.0,43.33245529999999,-79.8093698
434.0,1.0,1.0,0.0,43.78318970000001,-79.5985666
154.0,2.0,2.0,0.0,43.6667515,-79.37623549999999
416.0,1.0,1.0,1.0,43.730692700000006,-79.32731940000001
288.0,1.0,1.0,0.0,43.6589956,-79.4296933
481.0,2.0,1.0,0.0,43.66053970000001,-79.37866170000001
374.0,1.0,1.0,0.0,43.682692,-79.4888656
41.0,2.0,2.0,0.0,43.665234000000005,-79.3839957
36.0,1.0,1.0,0.0,43.7959865,-79.4158363
524.0,1.0,1.0,0.0,43.64894,-79.378086
247.0,1.0,1.0,0.0,43.705123,-79.5300905
