model,score,num_boost_round,epochs,batch_size,lr
MLP Regressor,50434.678463957185,,330.0,128.0,0.0001
MLP Regressor,50447.1899771953,,330.0,32.0,0.0001
XGBoost Regressor,3426.585126410286,426.0,,,
XGBoost Regressor,3426.584347674811,428.0,,,
XGBoost Regressor,3426.603372852447,746.0,,,
MLP Regressor,50421.44678629133,,420.0,32.0,0.0001
MLP Regressor,50284.5022979066,,420.0,32.0,0.0003
MLP Regressor,50363.54096877756,,200.0,32.0,0.0003
MLP Regressor,50360.17987412542,,200.0,64.0,0.0003
MLP Regressor,50416.007930563945,,200.0,32.0,0.0003
MLP Regressor,50443.05254521626,,150.0,32.0,0.0003
MLP Regressor,50251.73873757015,,150.0,32.0,0.001
MLP Regressor,50217.1671832626,,180.0,32.0,0.001
MLP Regressor,50247.04996043792,,180.0,32.0,0.001
MLP Regressor,50199.63486697546,,180.0,128.0,0.001
MLP Regressor,50236.480222906896,,180.0,128.0,0.001
MLP Regressor,50193.1601195896,,180.0,128.0,0.001
MLP Regressor,50164.411565867995,,240.0,128.0,0.001
MLP Regressor,50177.19610819831,,240.0,64.0,0.001
MLP Regressor,50130.6230222614,,390.0,64.0,0.001
FNN Regressor,50387.14509345102,,260.0,32.0,0.01
FNN Regressor,50483.299329670765,,260.0,32.0,0.001
FNN Regressor,50475.616367310606,,340.0,32.0,0.001
FNN Regressor,50477.391070014586,,340.0,32.0,0.001
FNN Regressor,50485.060408714424,,260.0,32.0,0.001
FNN Regressor,50490.6987565784,,210.0,32.0,0.001
FNN Regressor,50488.193407040606,,170.0,32.0,0.001
FNN Regressor,50482.90272830652,,350.0,32.0,0.001
FNN Regressor,50479.849166810505,,300.0,32.0,0.001
FNN Regressor,50487.328475887254,,230.0,32.0,0.001
FNN Regressor,50483.27855090314,,230.0,16.0,0.001
LightGBM Regressor,22668.61136524207,502.0,,,
LightGBM Regressor,12792.106393821048,1253.0,,,
LightGBM Regressor,14032.133188990761,1078.0,,,
FNN Regressor,50490.93286199914,,100.0,16.0,0.001
FNN Regressor,50491.23700375833,,60.0,16.0,0.001
FNN Regressor,50352.99253701464,,60.0,16.0,0.03
FNN Regressor,50281.007591774025,,150.0,16.0,0.03
FNN Regressor,50041.47764173294,,230.0,16.0,0.03
FNN Regressor,49899.8838622633,,230.0,32.0,0.03
Logistic Regressor,50484.556710303325,,430.0,64.0,0.001
Logistic Regressor,50483.188564433054,,270.0,64.0,0.001
Logistic Regressor,50479.80565954136,,280.0,64.0,0.001
Logistic Regressor,50483.114674682525,,210.0,64.0,0.001
XGBoost Regressor,3426.6033862984464,1219.0,,,
XGBoost Regressor,3426.6033862984464,891.0,,,
XGBoost Regressor,3426.6033862984464,1144.0,,,
XGBoost Regressor,3426.4239488816524,286.0,,,
FNN Regressor,49785.81402910454,,120.0,32.0,0.03
FNN Regressor,49740.902597483335,,120.0,32.0,0.03
FNN Regressor,50481.69764700105,,120.0,32.0,0.003
FNN Regressor,50486.58802641044,,120.0,32.0,0.003
FNN Regressor,50489.48435816185,,120.0,32.0,0.001
LightGBM Regressor,22171.626363717198,516.0,,,
LightGBM Regressor,20711.586834264577,582.0,,,
LightGBM Regressor,18589.510491610214,686.0,,,
LightGBM Regressor,41968.23223695595,73.0,,,
LightGBM Regressor,24139.63587944936,440.0,,,
LightGBM Regressor,14768.184700235355,1001.0,,,
LightGBM Regressor,15166.455213587698,939.0,,,
LightGBM Regressor,23215.1201230113,482.0,,,
LightGBM Regressor,18695.092783714,681.0,,,
LightGBM Regressor,22007.314068889424,521.0,,,
XGBoost Regressor,3424.7230426784345,110.0,,,
XGBoost Regressor,3426.6033810788176,777.0,,,
XGBoost Regressor,3426.6033862984464,1664.0,,,
XGBoost Regressor,3426.6033862984464,1022.0,,,
XGBoost Regressor,3426.047377158393,172.0,,,
XGBoost Regressor,3424.193338259816,72.0,,,
LightGBM Regressor,35823.46501839733,176.0,,,
LightGBM Regressor,14844.120336074677,993.0,,,
LightGBM Regressor,15007.672687527402,972.0,,,
LightGBM Regressor,10001.910988730793,1939.0,,,
LightGBM Regressor,10260.774263903426,1816.0,,,
LightGBM Regressor,14582.095258936148,1030.0,,,
LightGBM Regressor,13010.421352205194,1214.0,,,
XGBoost Regressor,3426.6033862984464,1013.0,,,
XGBoost Regressor,3426.6033862984464,1353.0,,,
XGBoost Regressor,3426.5934602702414,604.0,,,
XGBoost Regressor,3426.6033862984464,958.0,,,
XGBoost Regressor,3426.187462606508,231.0,,,
MLP Regressor,50131.50336354019,,390.0,128.0,0.001
LightGBM Regressor,10950.817874567167,1569.0,,,
LightGBM Regressor,12752.276447372331,1258.0,,,
LightGBM Regressor,17435.997437001308,754.0,,,
LightGBM Regressor,17567.39460772131,746.0,,,
LightGBM Regressor,11182.617154287473,1516.0,,,
LightGBM Regressor,12202.941435387476,1339.0,,,
LightGBM Regressor,13341.190305238146,1153.0,,,
LightGBM Regressor,11914.038907573995,1386.0,,,
LightGBM Regressor,10528.637792323461,1711.0,,,
LightGBM Regressor,14850.722667811166,990.0,,,
LightGBM Regressor,11322.869254388037,1490.0,,,
LightGBM Regressor,12149.361631561054,1346.0,,,
LightGBM Regressor,10711.735426923635,1644.0,,,
XGBoost Regressor,3426.6033862984464,1102.0,,,
XGBoost Regressor,3426.6033862984464,1116.0,,,
XGBoost Regressor,3425.8643396845287,151.0,,,
XGBoost Regressor,3426.6033862984464,1007.0,,,
FNN Regressor,50473.8744546744,,120.0,32.0,0.003
LightGBM Regressor,16802.61160756162,791.0,,,
LightGBM Regressor,10410.680752444989,1760.0,,,
XGBoost Regressor,3426.6033862984464,1339.0,,,
XGBoost Regressor,3426.6033862984464,1727.0,,,
XGBoost Regressor,3426.6033862984464,1453.0,,,
XGBoost Regressor,3426.6033880286886,793.0,,,
XGBoost Regressor,3426.6033862984464,1136.0,,,
FNN Regressor,50471.805996283976,,120.0,16.0,0.003
FNN Regressor,50479.38271689872,,120.0,16.0,0.003
