model,score,epochs,batch_size,lr,num_boost_round
FNN Regressor,0.575627075311734,340.0,64.0,0.01,
FNN Regressor,0.5690334319390794,340.0,256.0,0.01,
FNN Regressor,19.317230083559117,340.0,256.0,0.0003,
FNN Regressor,18.25646451801614,340.0,64.0,0.0003,
FNN Regressor,17.939649232632487,390.0,64.0,0.0003,
FNN Regressor,18.457924573813244,390.0,256.0,0.0003,
FNN Regressor,18.27377658005528,390.0,128.0,0.0003,
FNN Regressor,17.368919230835253,440.0,128.0,0.0003,
FNN Regressor,17.912447822860027,440.0,128.0,0.0003,
FNN Regressor,0.6372607319764012,440.0,128.0,0.01,
FNN Regressor,0.6433131877370536,350.0,128.0,0.01,
FNN Regressor,0.5942932838630745,350.0,256.0,0.01,
MLP Regressor,4.079425938128002,440.0,128.0,0.0003,
MLP Regressor,3.3706224686496844,440.0,128.0,0.0003,
MLP Regressor,3.856858475193463,440.0,64.0,0.0003,
Logistic Regressor,5.2825480103234375,320.0,16.0,0.01,
Logistic Regressor,4.893419290085658,320.0,16.0,0.01,
Logistic Regressor,4.556126108827765,320.0,16.0,0.01,
Logistic Regressor,4.456974127918067,360.0,16.0,0.01,
Logistic Regressor,4.539570016667742,360.0,32.0,0.01,
Logistic Regressor,37.97002136513279,360.0,32.0,0.001,
Logistic Regressor,22.813815101344776,450.0,32.0,0.001,
Logistic Regressor,16.323067064679552,450.0,64.0,0.001,
Logistic Regressor,6.045667618767099,450.0,64.0,0.003,
Logistic Regressor,10.464990409492717,360.0,64.0,0.003,
LightGBM Regressor,0.46280332682507613,,,,1312.0
LightGBM Regressor,0.46299120111578057,,,,1285.0
LightGBM Regressor,0.46649669405614336,,,,1030.0
XGBoost Regressor,0.43134661293825377,,,,1658.0
XGBoost Regressor,0.43134661293825377,,,,1808.0
XGBoost Regressor,0.43134661293825377,,,,1750.0
FNN Regressor,0.5795761185012711,430.0,256.0,0.01,
XGBoost Regressor,0.43134661293825377,,,,1883.0
XGBoost Regressor,0.43134661293825377,,,,1348.0
Logistic Regressor,4.844351994774636,360.0,64.0,0.01,
Logistic Regressor,13.22918707320882,360.0,64.0,0.001,
Logistic Regressor,9.534626471427838,360.0,16.0,0.001,
Logistic Regressor,41.75612971295156,250.0,16.0,0.001,
LightGBM Regressor,0.7087302628178045,,,,136.0
LightGBM Regressor,0.48727891109922555,,,,734.0
Logistic Regressor,46.98496471747305,180.0,16.0,0.001,
Logistic Regressor,8.083280046272307,390.0,16.0,0.001,
Logistic Regressor,8.093901903583742,390.0,16.0,0.001,
Logistic Regressor,6.0698244121576295,390.0,16.0,0.001,
Logistic Regressor,9.086723661306156,400.0,16.0,0.001,
Logistic Regressor,21.070529808468113,400.0,32.0,0.001,
Logistic Regressor,20.746428296794882,400.0,16.0,0.001,
Logistic Regressor,14.417781176368198,230.0,16.0,0.001,
Logistic Regressor,42.562229278943,230.0,16.0,0.0001,
Logistic Regressor,17.83331575075265,230.0,16.0,0.001,
