model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,1714.0870821850222,1222.0,,,
XGBoost Regressor,1714.085207406971,871.0,,,
XGBoost Regressor,1714.0874295528042,1287.0,,,
XGBoost Regressor,1714.0883062476937,1451.0,,,
XGBoost Regressor,1714.083776965439,697.0,,,
XGBoost Regressor,1714.086964627601,1200.0,,,
XGBoost Regressor,1714.1022424012974,444.0,,,
XGBoost Regressor,1714.0875845510943,1316.0,,,
XGBoost Regressor,1714.0861579365405,1049.0,,,
XGBoost Regressor,1714.0849700521446,827.0,,,
FNN Regressor,20957.66260630347,,400.0,32.0,0.01
FNN Regressor,23961.10211799351,,400.0,32.0,0.003
FNN Regressor,23963.25498867878,,400.0,128.0,0.003
FNN Regressor,23961.558211941967,,400.0,128.0,0.003
FNN Regressor,24255.709074870003,,400.0,128.0,0.001
FNN Regressor,24252.172418573107,,420.0,128.0,0.001
FNN Regressor,8108.528090503941,,420.0,128.0,0.03
FNN Regressor,6695.991093508949,,420.0,64.0,0.03
LightGBM Regressor,1795.530208840689,454.0,,,
LightGBM Regressor,1787.345971305276,323.0,,,
LightGBM Regressor,1850.1378623894475,1209.0,,,
LightGBM Regressor,1850.0261219808342,1202.0,,,
LightGBM Regressor,1818.3515486673214,665.0,,,
LightGBM Regressor,1801.3847506678944,484.0,,,
LightGBM Regressor,1854.3839780818487,1430.0,,,
LightGBM Regressor,1827.4271710554392,800.0,,,
LightGBM Regressor,1850.8890580202542,1215.0,,,
LightGBM Regressor,1820.3168756996129,690.0,,,
XGBoost Regressor,1714.0893437930365,1645.0,,,
XGBoost Regressor,1714.0880282310616,1399.0,,,
XGBoost Regressor,1714.0844271766562,732.0,,,
XGBoost Regressor,1714.0869699709751,1201.0,,,
XGBoost Regressor,1714.0788110125243,515.0,,,
XGBoost Regressor,1714.0863235229328,1080.0,,,
XGBoost Regressor,1714.0870287490022,1212.0,,,
XGBoost Regressor,1714.0851380034126,858.0,,,
Logistic Regressor,24294.862317205363,,120.0,128.0,0.003
Logistic Regressor,24292.121829699583,,120.0,128.0,0.01
MLP Regressor,23986.383917239214,,160.0,256.0,0.001
MLP Regressor,24281.513925855117,,160.0,256.0,0.0003
MLP Regressor,24280.906382182107,,160.0,256.0,0.0003
MLP Regressor,24228.016974461523,,270.0,256.0,0.0003
MLP Regressor,24291.114563913994,,270.0,256.0,0.0001
LightGBM Regressor,1853.6748820502044,1383.0,,,
LightGBM Regressor,1847.8234777953255,1133.0,,,
LightGBM Regressor,1853.7784535228254,1385.0,,,
MLP Regressor,24291.614052531055,,270.0,64.0,0.0001
LightGBM Regressor,1859.8891652448763,1803.0,,,
Logistic Regressor,24292.219462142515,,120.0,256.0,0.01
XGBoost Regressor,1714.0901998915288,1805.0,,,
XGBoost Regressor,1714.0867402183524,1158.0,,,
XGBoost Regressor,1714.0840112274573,637.0,,,
LightGBM Regressor,1845.9562457802444,1109.0,,,
LightGBM Regressor,1858.6175509039288,1657.0,,,
LightGBM Regressor,1836.8899293850623,950.0,,,
Logistic Regressor,24288.847494921505,,220.0,256.0,0.01
Logistic Regressor,24295.02072181592,,220.0,256.0,0.001
Logistic Regressor,24288.96021685537,,220.0,256.0,0.01
XGBoost Regressor,1714.0854957236504,925.0,,,
XGBoost Regressor,1714.0869111946183,1190.0,,,
Logistic Regressor,24288.949725489696,,220.0,128.0,0.01
